"treatment","I","gamma","m","lam","beta","stay","alpha"
1,1.88206523,2.670909289,0.9760521495,0.46248577455,0.5854199065,1.836266506,1.76154123
1,0.92614649,1.998572854,0.8657027905,0.36135844875,0.825613009,1.3190871835,1.76154123
1,1.88980394,2.6026608815,0.923403582,0.744620271,0.44769568475,1.4375560925,1.76154123
1,3.80038565,2.5074836105,0.995420695,0.6894179374,1.0723750145,0.439397706,1.76154123
1,2.242707155,2.802117515,0.9567513965,0.5851665745,0.775952751,0.7908654105,1.76154123
1,2.413790965,5.36801108,0.8539980645,0.7847930485,0.3174873506,0.701550316,1.76154123
1,2.39001858,4.576984735,1.137035847,0.470406174,0.982283768,0.727906895,1.76154123
1,2.490895085,3.516424445,0.956441936,0.253672840165,0.897048253,0.5765416805,1.76154123
1,2.67655618,3.48749842,1.1175298945,0.4869600178,1.048650961,0.26863701995,1.76154123
1,3.203723745,5.908017515,1.093006984,1.264616398,0.148517647385,1.3304437025,1.76154123
1,1.4151830905,2.000022706,1.039581964,0.9891505645,0.30626605825,0.8995236715,1.76154123
1,2.61129232,4.839925585,0.8717872915,0.2858242797,0.5075338215,0.8442591735,1.76154123
1,2.757144195,2.962906675,1.012839375,0.62615482845,0.6576239115,0.673739609,1.76154123
1,1.64093306,0.9286280724,0.822796195,0.644003696,0.5684264805,1.872689806,1.76154123
1,3.266192805,5.43396213,0.7192533855,0.2621806177,0.56206159895,0.9009187545,1.76154123
2,1.699433335,3.25534972,1.30947978,0.167181226445,1.133564702,0.9562609075,1.8006122
2,2.84173158,3.594015675,1.0382463805,0.24232661035,1.3659647045,0.7987305385,1.8006122
2,2.480254395,3.977936865,1.200810387,0.30233596405,1.311650932,0.43430852,1.8006122
2,2.595762215,4.026796605,0.76522769,0.1856036218,0.977462532,0.957195022,1.8006122
2,4.60698145,4.104439485,1.157340447,0.2980673083,1.3489781055,0.3132879795,1.8006122
2,2.487110665,3.50653798,1.1336428535,0.35902105925,1.204921172,0.768399697,1.8006122
2,1.985894275,3.562622435,1.087308179,0.2993391219,0.754964482,1.088040016,1.8006122
2,0.367497405,2.861297335,1.1371167285,0.3543393871,0.7123421945,0.8552092595,1.8006122
2,3.0659072,4.254027425,1.046206157,0.3108858362,1.321733806,0.553613178,1.8006122
2,1.86962274,4.059947585,1.1202078065,0.159961395235,1.143561671,0.993198293,1.8006122
2,3.11715704,5.031662395,1.21723219,0.3212631502,1.3685750635,0.608405938,1.8006122
2,0.98146828,2.070192845,0.9887948695,0.3220759635,1.361639771,1.0251271915,1.8006122
2,0.5690574355,2.57796446,0.788347647,0.2218375526,1.123735603,0.9035222,1.8006122
2,0.6471764895,2.698554475,0.9180931755,0.171693974465,0.9190038395,0.9258189465,1.8006122
2,1.3225159895,4.516902445,0.850363683,0.2210997872,1.2219252195,0.9252796145,1.8006122
2,4.91850239,4.205674675,1.008646272,0.2429668714,0.988900459,0.686403104,1.8006122
2,1.220460452,2.428741503,0.747948187,0.2730374453,1.041094119,0.71347920085,1.8006122
2,2.06111488,4.615365045,0.9191887055,0.226398219,1.199501225,0.9921341165,1.8006122
2,3.40586084,3.982709955,1.082612427,0.2196552563,1.273448479,0.729582101,1.8006122
2,0.5941061095,3.615437285,0.772833767,0.2650432519,1.0796909425,0.905472292,1.8006122
