"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"126",-5428.42,-2.51496,1.3149,2.76015,3.84582,2.98409,0.717156,1.44171,1,0,0,1,126,1,1
"127",-5421.83,-1.94871,1.33702,3.0222,3.7267,3.06948,0.704264,1.42711,1,0,0,1,127,1,1
"128",-5413.65,-2.62332,1.32188,2.82123,3.86422,3.17036,0.690955,1.44,1,0,0,1,128,1,1
"129",-5413.81,-2.67876,1.32619,2.78598,3.53933,3.12349,0.700997,1.43343,1,0,0,1,129,1,1
"130",-5417.41,-1.83067,1.31585,2.73606,3.87122,3.12708,0.695208,1.42582,1,0,0,1,130,1,1
"131",-5418.36,-2.31256,1.31303,2.57016,3.80415,3.05515,0.704722,1.4478,1,0,0,1,131,1,1
"132",-5421.35,-2.40004,1.3332,2.93131,3.61534,3.0338,0.709695,1.4223,1,0,0,1,132,1,1
"133",-5418.68,-1.05491,1.32292,2.65478,3.66356,3.04388,0.711616,1.43201,1,0,0,1,133,1,1
"134",-5418.89,-3.02312,1.33421,2.50691,3.77915,3.1514,0.69513,1.42953,1,0,0,1,134,1,1
"135",-5422.19,-3.4447,1.33254,2.71841,3.73908,3.19346,0.698673,1.40923,1,0,0,1,135,1,1
"136",-5419.02,-3.07738,1.32652,3.1541,3.63889,2.99573,0.700356,1.42632,1,0,0,1,136,1,1
"137",-5420.51,-2.18345,1.31077,2.63105,3.85046,3.05534,0.706566,1.44438,1,0,0,1,137,1,1
"138",-5433.35,-3.82708,1.333,2.87468,3.8171,3.07682,0.725482,1.42713,1,0,0,1,138,1,1
"139",-5423.46,-6.40043,1.29925,3.11556,3.82544,3.14623,0.71948,1.43308,1,0,0,1,139,1,1
"140",-5423.45,-4.192,1.30742,2.48719,3.70275,2.94095,0.704058,1.42048,1,0,0,1,140,1,1
"141",-5415.54,-0.724352,1.32147,2.66738,3.69655,3.13548,0.707917,1.43355,1,0,0,1,141,1,1
"142",-5423.24,-7.9794,1.35138,3.06039,3.59369,3.11761,0.717102,1.4414,1,0,0,1,142,1,1
"143",-5411.85,-2.72569,1.31458,2.70181,3.63558,3.04338,0.695915,1.44913,1,0,0,1,143,1,1
"144",-5417.43,-0.979086,1.33317,2.83528,3.71816,3.04277,0.697966,1.43389,1,0,0,1,144,1,1
"145",-5419.37,-3.05697,1.31044,2.81832,3.92696,3.14404,0.70571,1.44412,1,0,0,1,145,1,1
"146",-5415.48,-1.70813,1.31318,3.03194,3.73039,3.02726,0.698232,1.43433,1,0,0,1,146,1,1
"147",-5418.39,-0.94346,1.31217,2.92285,3.74593,3.02955,0.706033,1.42984,1,0,0,1,147,1,1
"148",-5417.08,-1.95883,1.32893,2.65209,3.80559,3.03795,0.691941,1.43971,1,0,0,1,148,1,1
"149",-5414.57,-2.17457,1.31401,2.67196,3.65516,3.14772,0.714296,1.43781,1,0,0,1,149,1,1
"150",-5415.15,-2.3916,1.33532,2.79045,3.68265,3.07202,0.690905,1.43693,1,0,0,1,150,1,1
"151",-5417.6,-2.14331,1.33029,2.87673,3.63661,3.18578,0.709166,1.42443,1,0,0,1,151,1,1
"152",-5419.69,-0.401615,1.32849,2.77743,3.78814,3.03939,0.70007,1.43142,1,0,0,1,152,1,1
"153",-5413.68,-1.25049,1.31829,2.79296,3.68052,3.15207,0.696103,1.42755,1,0,0,1,153,1,1
"154",-5421.3,-8.29124,1.30633,2.82885,4.09685,3.19856,0.694246,1.42963,1,0,0,1,154,1,1
"155",-5423.46,-3.55608,1.3229,2.8311,3.77127,3.21959,0.711302,1.40808,1,0,0,1,155,1,1
"156",-5417.92,-2.98505,1.29917,2.83151,3.76706,3.05341,0.705062,1.42689,1,0,0,1,156,1,1
"157",-5430.52,-1.81533,1.32568,2.78681,3.77541,2.9341,0.714789,1.42689,1,0,0,1,157,1,1
"158",-5418.27,-4.02573,1.31276,2.64765,3.70941,3.04337,0.714947,1.45762,1,0,0,1,158,1,1
"159",-5417.78,-1.4839,1.31135,2.97705,3.75617,3.09187,0.710191,1.43537,1,0,0,1,159,1,1
"160",-5420.41,-6.81763,1.32989,3.06591,3.97908,3.00963,0.685026,1.44116,1,0,0,1,160,1,1
"161",-5418.77,-1.42554,1.32623,3.07748,3.72919,3.10683,0.704534,1.42786,1,0,0,1,161,1,1
"162",-5413.51,-2.49435,1.32452,2.73341,3.65794,3.04808,0.687598,1.4345,1,0,0,1,162,1,1
"163",-5426.62,-1.48295,1.33246,2.89527,3.74368,2.9914,0.708886,1.4215,1,0,0,1,163,1,1
"164",-5413.07,-1.13827,1.31964,2.76143,3.73303,3.13011,0.701518,1.44685,1,0,0,1,164,1,1
"165",-5424.13,-2.02751,1.31679,2.6522,3.69233,2.93459,0.711785,1.42717,1,0,0,1,165,1,1
"166",-5417.8,-5.37989,1.34492,2.62123,3.70974,3.04924,0.698736,1.45632,1,0,0,1,166,1,1
"167",-5417.03,-2.35323,1.32778,3.0295,3.73092,3.147,0.710959,1.44623,1,0,0,1,167,1,1
"168",-5421.37,-5.36094,1.30686,3.15931,3.66313,3.01302,0.719457,1.43788,1,0,0,1,168,1,1
"169",-5416.89,-1.28479,1.33188,2.66133,3.75762,3.1063,0.703384,1.44377,1,0,0,1,169,1,1
"170",-5429.23,-2.8764,1.30728,2.70294,3.85967,2.97276,0.710936,1.4234,1,0,0,1,170,1,1
"171",-5414.33,-0.952977,1.32448,2.82217,3.6284,3.05144,0.700577,1.43431,1,0,0,1,171,1,1
"172",-5412.2,-2.31192,1.31361,2.71183,3.60856,3.16084,0.698159,1.43531,1,0,0,1,172,1,1
"173",-5425.53,-1.26271,1.33525,2.8442,3.78237,2.99829,0.70862,1.43291,1,0,0,1,173,1,1
"174",-5426.19,-2.45522,1.32943,2.74705,3.67492,3.00305,0.720045,1.42703,1,0,0,1,174,1,1
"175",-5414.06,-4.11392,1.31141,2.61101,3.82074,3.27495,0.707611,1.44457,1,0,0,1,175,1,1
"176",-5415.79,-2.49046,1.31539,2.92333,3.80854,3.03945,0.699429,1.45295,1,0,0,1,176,1,1
"177",-5423.15,-3.45173,1.30941,2.89772,3.84027,3.09141,0.718324,1.4458,1,0,0,1,177,1,1
"178",-5424.02,-2.25388,1.32832,2.58723,3.72747,2.96776,0.71239,1.44301,1,0,0,1,178,1,1
"179",-5421.8,-2.4198,1.328,3.1115,3.83345,3.12655,0.701733,1.42337,1,0,0,1,179,1,1
"180",-5432.42,-4.20263,1.31798,2.66951,3.80062,2.8084,0.70556,1.43062,1,0,0,1,180,1,1
"181",-5427.14,-3.80615,1.32262,2.98902,3.76053,3.14685,0.720998,1.4145,1,0,0,1,181,1,1
"182",-5414.57,-6.69607,1.343,2.74457,3.6984,3.24434,0.696252,1.45826,1,0,0,1,182,1,1
"183",-5418.3,-3.55366,1.32554,3.10115,3.71586,3.09469,0.713519,1.45214,1,0,0,1,183,1,1
"184",-5417.72,-3.64357,1.31207,2.98147,3.71427,3.06969,0.715082,1.45366,1,0,0,1,184,1,1
"185",-5417.57,-1.5478,1.32712,3.00152,3.73418,3.16352,0.700564,1.42443,1,0,0,1,185,1,1
"186",-5420.23,-2.04674,1.30995,2.80622,3.89637,3.13039,0.706612,1.43273,1,0,0,1,186,1,1
"187",-5415.66,-3.24568,1.33051,2.69507,3.66955,3.05122,0.685665,1.42911,1,0,0,1,187,1,1
"188",-5420.09,-4.2838,1.31439,2.69929,3.8904,3.1143,0.689719,1.41271,1,0,0,1,188,1,1
"189",-5416.32,-2.57493,1.31879,2.84117,3.74197,2.92705,0.690285,1.43493,1,0,0,1,189,1,1
"190",-5417.51,-1.55684,1.31344,2.82533,3.65765,3.08565,0.710378,1.42136,1,0,0,1,190,1,1
"191",-5419.06,-1.55594,1.32206,2.75037,3.75276,3.1647,0.702209,1.415,1,0,0,1,191,1,1
"192",-5429.77,-2.63837,1.32457,2.55137,3.91638,3.07457,0.706658,1.42159,1,0,0,1,192,1,1
"193",-5434.21,-5.57762,1.34117,2.85739,3.75287,2.93789,0.72372,1.44318,1,0,0,1,193,1,1
"194",-5428.13,-3.97424,1.32936,3.12231,3.69786,2.91252,0.70761,1.41819,1,0,0,1,194,1,1
"195",-5418.07,-1.94694,1.32056,2.66562,3.69832,2.96055,0.705821,1.44792,1,0,0,1,195,1,1
"196",-5416.44,-2.57294,1.3035,2.76131,3.83399,3.07172,0.697136,1.43138,1,0,0,1,196,1,1
"197",-5424.75,-7.64671,1.30427,3.37976,3.81593,2.92585,0.703564,1.4376,1,0,0,1,197,1,1
"198",-5432.02,-2.20059,1.32546,2.62083,3.85404,2.9841,0.715661,1.43391,1,0,0,1,198,1,1
"199",-5413.22,-1.60597,1.31117,2.71309,3.6409,3.13003,0.705836,1.4324,1,0,0,1,199,1,1
"200",-5421.02,-2.0498,1.33219,3.1034,3.70583,3.06651,0.70676,1.42855,1,0,0,1,200,1,1
"201",-5419.22,-2.49342,1.32074,2.81137,3.76116,3.23712,0.715205,1.42292,1,0,0,1,201,1,1
"202",-5420.77,-1.15309,1.3299,2.7183,3.70411,3.09241,0.703698,1.4183,1,0,0,1,202,1,1
"203",-5414.95,-0.948007,1.32109,2.86359,3.63805,3.08608,0.700923,1.42704,1,0,0,1,203,1,1
"204",-5420.43,-4.36528,1.31602,2.70958,3.66349,3.16006,0.726425,1.42737,1,0,0,1,204,1,1
"205",-5416,-4.14374,1.29984,2.73704,3.8733,3.146,0.696819,1.42912,1,0,0,1,205,1,1
"206",-5428.34,-2.85357,1.31162,2.82102,3.9295,3.00203,0.711081,1.43982,1,0,0,1,206,1,1
"207",-5414.65,-6.8664,1.32203,2.60942,3.78084,3.25427,0.710199,1.46713,1,0,0,1,207,1,1
