"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"133","lam[22]",0.32983898175,0.277637,0.209324549967824,0.1540799463,0.1092278,0.71807245,0.999638157877944,2141.70041514568,2044.28129010951
"134","lam[23]",0.23655387655,0.183788,0.185302266231815,0.1226933043,0.05968532,0.5830771,0.999982139929364,2062.30118731079,1959.94608799392
"135","lam[24]",0.18241116671,0.129882,0.173173759126768,0.0942347973,0.0345445,0.5084974,1.00076697479783,2079.95722809371,1786.03023450142
"136","lam[25]",0.25506821785,0.213019,0.168948942513531,0.1214627463,0.077461095,0.56899975,1.00048835701313,1930.37871203542,1768.58005034732
"137","lam[26]",0.3030625674,0.2528835,0.200178269180229,0.1416357432,0.09538009,0.68049505,0.999762692858298,2019.49506184768,1830.54843353936
"138","lam[27]",0.26905512305,0.2217035,0.192602696408966,0.1382294697,0.072572385,0.6252251,0.999835606695853,1794.98276605749,1814.62958524427
"139","lam[28]",0.2123763064,0.168033,0.153633781039467,0.10513820835,0.059383295,0.50426295,0.999879694907045,1997.60442694368,1792.14807548587
"140","lam[29]",0.21826223845,0.1648645,0.189411949978036,0.11341645371,0.04996296,0.5634026,0.999894621297393,2104.74098220468,1925.50641196862
"141","lam[30]",0.129993294025,0.09215855,0.12537205122832,0.07124871516,0.022936985,0.365749,1.00008777459309,1978.68405830271,2043.96684100634
"142","lam[31]",0.2373830095,0.195647,0.157839087464076,0.1127873124,0.07012851,0.5492622,1.00061958019276,1913.09940686399,1763.56089945942
"143","lam[32]",0.3674653874,0.33987,0.148906916829694,0.1312879365,0.1790576,0.6578858,1.00211975958228,1933.6332469105,1574.47850665349
"144","lam[33]",0.26794988135,0.202819,0.241688921750817,0.1399967289,0.05847629,0.6787551,0.999524236211106,1971.46862176675,1874.2486860708
"145","lam[34]",0.30868222705,0.260463,0.19911721692941,0.144516435,0.1026537,0.68651365,1.00014664638358,1941.93600016185,1920.69134210722
"146","lam[35]",0.23174636135,0.1903185,0.15949029611239,0.1193848824,0.067564905,0.54345935,1.00013243850058,1833.03023573325,1804.20751052324
"147","lam[36]",0.1675520819,0.1229395,0.157996247248291,0.08610807366,0.035333585,0.44587745,1.00054096968415,2032.42269643915,2004.13877981891
"148","lam[37]",0.141603841145,0.102792,0.130788322458398,0.07904845137,0.027237915,0.3913527,0.999983588685648,1911.97917125009,1818.54347550837
"149","lam[38]",0.3109634258,0.2723235,0.185812059622893,0.1465928163,0.10793015,0.67376345,0.999598467881428,2053.05987095927,1807.40617057009
"150","lam[39]",0.283137495,0.230445,0.210371742213313,0.1426342743,0.07660241,0.662215,1.00025089231434,2075.76655099999,2043.05742763917
"151","lam[40]",0.33277927495,0.283563,0.222308532073049,0.157088883,0.1096218,0.70372925,1.0028809296734,1995.70075437216,1961.52960842579
"152","lam[41]",0.156022392715,0.1175395,0.136669505438183,0.08463214536,0.03134547,0.4097614,1.00147126716929,1854.43462665141,1917.90078546489
"153","lam[42]",0.16145940345,0.120016,0.153152744611922,0.08312782527,0.036096815,0.42929345,1.0007172585538,2039.96941017337,1975.90596889802
"154","lam[43]",0.2276487603,0.1837765,0.168938302254139,0.1129214877,0.06151976,0.5370273,0.999931216537045,1883.48730852285,2047.06098959464
"155","lam[44]",0.21924988365,0.169792,0.181086263168123,0.11238063522,0.050751075,0.55898305,1.00258030492981,1823.64661331265,1890.30430349362
"156","lam[45]",0.208895977895,0.1506955,0.198357915326878,0.11566400118,0.04152514,0.575386,1.00189225914558,1878.46436684079,1777.46926488352
"157","lam[46]",0.3024069747,0.241394,0.227992027465578,0.1487626014,0.08251299,0.7115601,1.0002826967832,1871.06005946323,1932.74474694209
"158","lam[47]",0.19463811755,0.171938,0.104797167695098,0.0835993662,0.07270936,0.39202285,1.00159545776306,1726.71491805651,1958.98982259431
"159","lam[48]",0.27814868545,0.242351,0.173542176012878,0.1348076289,0.09452183,0.59012725,1.00041700791258,1398.0570052002,1983.20682118333
"160","gamma[1]",3.25534972,3.1961,0.625198708921924,0.631305906,2.3347085,4.354906,1.00336709702087,1712.19513896112,1816.2642923033
"161","gamma[2]",3.594015675,3.504425,0.832714216985473,0.76628181,2.4150925,5.058195,1.00045494423747,2019.43820443434,1883.11399664497
"162","gamma[3]",3.977936865,3.909995,0.702727454296495,0.661358208,2.946971,5.2513225,1.0006820241024,1788.96427588238,1925.24213890432
"163","gamma[4]",4.026796605,3.9304,0.949677489100629,0.909960576,2.6652055,5.7536105,1.00027882845934,1722.90297209878,1923.00432897657
"164","gamma[5]",4.104439485,3.981135,0.998170915374433,0.981229158,2.6702165,5.9077225,1.00205427610235,1900.31482737465,1934.48557843113
"165","gamma[6]",3.50653798,3.405995,0.851435539472166,0.815459652,2.296716,5.054723,0.999726136281227,1966.96155656639,1813.09014171391
"166","gamma[7]",3.562622435,3.467145,0.766777183020675,0.727548885,2.4747335,4.9340045,1.00118084708928,2120.79837474056,2090.16379680511
"167","gamma[8]",2.861297335,2.80519,0.52227789165731,0.504862365,2.077824,3.8014905,0.99954757810226,1915.6304336292,1889.24209949232
"168","gamma[9]",4.254027425,4.169955,0.843912061244403,0.796853022,3.047205,5.768989,0.999731178783624,1871.91001278356,1861.983313406
"169","gamma[10]",4.059947585,3.98363,0.766340704845612,0.725539962,2.95297,5.4842405,1.00000165284621,2050.32040167671,1890.93670091518
"170","gamma[11]",5.031662395,4.910425,0.948224889073759,0.919827279,3.646119,6.752303,1.0008277887079,1855.47720269833,1845.77493575977
"171","gamma[12]",2.070192845,2.005485,0.552878028969376,0.533194851,1.2957785,3.0647555,0.999684444801536,1916.26079747215,1962.73343888589
"172","gamma[13]",2.57796446,2.50748,0.611532282460341,0.592825023,1.7111375,3.674004,1.00075641031721,1831.27232057954,2004.13877981891
"173","gamma[14]",2.698554475,2.628975,0.574222348642636,0.557450187,1.8697325,3.703716,0.999789260391815,1996.49804757734,1595.29974358925
