"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"108",-1028.53,-2.2576,1.82686,0.961201,0.356556,2.63065,0.619664,0.918152,1.46475,1,0,1,108,108
"109",-1026.99,-4.29764,1.77978,0.999808,0.35997,2.76308,0.673334,0.874287,1.48253,1,0,1,109,109
"110",-1028.92,-5.72936,1.82258,1.03115,0.338474,2.74465,0.634461,0.963416,1.54792,1,0,1,110,110
"111",-1031.44,-6.46489,1.83704,0.971324,0.486254,2.73686,0.683464,0.982836,1.44401,1,0,1,111,111
"112",-1028.49,-3.45033,1.81439,0.957635,0.327541,2.623,0.603491,0.914898,1.44606,1,0,1,112,112
"113",-1023.45,-1.97166,1.79808,0.976302,0.342989,2.69708,0.592921,0.96482,1.4354,1,0,1,113,113
"114",-1022.2,-1.83755,1.82681,0.998914,0.313188,2.72692,0.577672,0.991821,1.46874,1,0,1,114,114
"115",-1022.46,-1.37853,1.83748,0.990455,0.338881,2.80017,0.630695,0.922148,1.48091,1,0,1,115,115
"116",-1027.41,-3.54505,1.79606,1.0133,0.287921,2.73558,0.62169,1.02085,1.47452,1,0,1,116,116
"117",-1029.5,-4.79767,1.83591,0.999792,0.434662,2.71182,0.549156,0.968552,1.43237,1,0,1,117,117
"118",-1025.1,-3.39755,1.75526,0.991498,0.347156,2.71646,0.58562,1.00923,1.47307,1,0,1,118,118
"119",-1025.32,-1.95859,1.81329,0.973369,0.388397,2.72281,0.560142,0.964753,1.48749,1,0,1,119,119
"120",-1059.75,-3.28491,1.83109,1.0127,0.302465,2.85236,0.621428,0.913281,1.48413,1,0,1,120,120
"121",-1058.29,-2.29157,1.77854,1.02386,0.344203,2.76274,0.580757,0.994961,1.46494,1,0,1,121,121
"122",-1032.05,-5.59926,1.87303,0.972287,0.420635,2.7188,0.626657,1.04051,1.45761,1,0,1,122,122
"123",-1026.01,-1.99962,1.81221,0.991222,0.382637,2.67053,0.651474,0.913889,1.44866,1,0,1,123,123
"124",-1051.93,-7.05319,1.7911,0.9452,0.365114,2.91218,0.536324,0.938053,1.47297,1,0,1,124,124
"125",-1025.25,-2.64358,1.83086,1.00745,0.380972,2.70071,0.618682,0.917093,1.42738,1,0,1,125,125
"126",-1030.67,-9.32707,1.8311,1.08419,0.503665,2.73975,0.596033,0.941008,1.50642,1,0,1,126,126
"127",-1024.63,-3.55756,1.77536,1.03136,0.431992,2.66349,0.590751,0.982362,1.47389,1,0,1,127,127
"128",-1026.8,-2.47258,1.82341,0.979272,0.410776,2.69114,0.678731,0.962019,1.47193,1,0,1,128,128
"129",-1040.52,-12.1774,1.88728,0.925271,0.318161,2.57712,0.607762,1.04469,1.50354,1,0,1,129,129
"130",-1023.91,-1.71544,1.84069,0.992073,0.363049,2.72539,0.622728,0.903646,1.49318,1,0,1,130,130
"131",-1021.69,-0.528004,1.8037,1.00603,0.356187,2.74229,0.600395,0.962252,1.45279,1,0,1,131,131
"132",-1059.56,-3.34518,1.78128,1.04274,0.310601,2.7328,0.642621,0.959178,1.45085,1,0,1,132,132
"133",-1029.13,-4.78316,1.81822,0.971996,0.317872,2.88814,0.614155,0.994849,1.51456,1,0,1,133,133
