"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"122",-9574.97,-2.31851,1.2859,0.92527,0.502294,3.39476,0.670617,1.05455,1.47718,1,0,1,122,122
"123",-9510.07,-2.72059,1.27492,0.917362,0.413935,3.18564,0.783583,1.00842,1.47597,1,0,1,123,123
"124",-9537.87,-7.07716,1.31722,0.84754,0.502717,3.18977,0.685641,1.03256,1.46263,1,0,1,124,124
"125",-9546.67,-3.33275,1.27544,0.912478,0.446279,3.86636,0.75243,1.07569,1.47455,1,0,1,125,125
"126",-9572.41,-8.67355,1.27099,0.93254,0.442754,2.45173,0.688433,1.06703,1.49904,1,0,1,126,126
"127",-9508.83,-4.19113,1.26861,0.953627,0.463325,2.96929,0.75491,1.00596,1.44934,1,0,1,127,127
"128",-9510.62,-2.95615,1.2969,0.900362,0.407884,3.42563,0.716725,1.07719,1.47513,1,0,1,128,128
"129",-9522.17,-3.0641,1.28408,0.937362,0.451607,3.34069,0.707429,1.00213,1.49321,1,0,1,129,129
"130",-9502.01,-1.62942,1.2836,0.899748,0.46823,3.37575,0.729335,1.08224,1.48694,1,0,1,130,130
"131",-9486.74,-1.79496,1.27088,0.899162,0.51435,3.32026,0.774964,1.05398,1.47356,1,0,1,131,131
"132",-9508.94,-1.88528,1.27535,0.957331,0.428636,3.40623,0.765906,1.0775,1.47986,1,0,1,132,132
"133",-9509.17,-2.42491,1.26679,0.905803,0.4413,3.07587,0.718943,1.02583,1.48622,1,0,1,133,133
"134",-9497.98,-1.46903,1.27547,0.965764,0.459324,3.29564,0.796736,1.06502,1.47084,1,0,1,134,134
"135",-9568.58,-5.5635,1.28478,1.02039,0.497794,2.6028,0.720967,1.04625,1.47774,1,0,1,135,135
"136",-9491.58,-3.19352,1.30703,0.892563,0.486498,3.54045,0.745444,1.02188,1.46932,1,0,1,136,136
"137",-9523.77,-3.34639,1.27514,0.976403,0.430955,2.9295,0.785395,1.07811,1.45861,1,0,1,137,137
"138",-9598.03,-4.297,1.27188,0.910796,0.419309,3.80971,0.715826,1.05003,1.48774,1,0,1,138,138
"139",-9551.4,-2.96164,1.29929,0.936966,0.478202,3.22778,0.668469,1.03143,1.48412,1,0,1,139,139
"140",-9524.49,-1.9623,1.26648,0.941114,0.482779,3.31694,0.709777,1.07536,1.46893,1,0,1,140,140
"141",-9514.77,-2.41778,1.29066,0.972712,0.417819,3.12458,0.791244,1.04354,1.46231,1,0,1,141,141
"142",-9487.41,-3.84104,1.26517,0.915343,0.530647,3.34411,0.811787,1.05906,1.4833,1,0,1,142,142
"143",-9534.7,-3.20152,1.29001,0.991606,0.431113,3.333,0.728282,1.01273,1.45821,1,0,1,143,143
"144",-9516.58,-5.92181,1.32089,0.895523,0.504651,3.14759,0.705649,1.02287,1.46103,1,0,1,144,144
"145",-9526.18,-1.41943,1.28014,0.968069,0.497888,3.38509,0.728269,1.07507,1.47699,1,0,1,145,145
"146",-9527.39,-2.12805,1.28908,0.893735,0.449143,2.88284,0.755024,1.01526,1.46783,1,0,1,146,146
"147",-9557.38,-2.42821,1.29491,0.931903,0.472652,3.36868,0.6733,1.07243,1.47939,1,0,1,147,147
"148",-9528.54,-2.93641,1.2784,1.00791,0.455728,3.4571,0.796121,1.05904,1.46654,1,0,1,148,148
"149",-9494.28,-0.707975,1.28729,0.908564,0.481029,3.24103,0.730607,1.03202,1.46431,1,0,1,149,149
"150",-9547.61,-2.96946,1.29112,0.894112,0.494168,3.50852,0.684795,1.02221,1.48139,1,0,1,150,150
"151",-9522.53,-1.29857,1.28219,0.920606,0.453153,2.86227,0.768532,1.0639,1.4781,1,0,1,151,151
"152",-9505.45,-3.42162,1.28511,0.859316,0.469096,3.52064,0.747931,1.04768,1.45241,1,0,1,152,152
"153",-9508.77,-3.92426,1.25852,0.894234,0.440427,3.44295,0.793216,1.07454,1.47391,1,0,1,153,153
"154",-9532.65,-6.11158,1.3109,0.959013,0.437964,3.10224,0.676299,1.02169,1.44992,1,0,1,154,154
"155",-9505.83,-4.06272,1.26917,0.880401,0.524082,3.14572,0.761728,0.99744,1.47429,1,0,1,155,155
"156",-9496.16,-1.2007,1.26749,0.92386,0.441224,3.23007,0.748343,1.05169,1.4681,1,0,1,156,156
"157",-9486.41,-1.03402,1.28234,0.934567,0.487719,3.28306,0.772162,1.07962,1.48091,1,0,1,157,157
"158",-9592.84,-11.196,1.2853,0.885486,0.51327,2.71457,0.629341,1.13417,1.46841,1,0,1,158,158
"159",-9503.7,-1.17302,1.2846,0.872739,0.456248,3.34054,0.733598,1.05362,1.4751,1,0,1,159,159
"160",-9520.91,-5.63003,1.3008,0.892521,0.420946,3.34743,0.810319,1.09773,1.45279,1,0,1,160,160
"161",-9498.3,-0.777197,1.2799,0.933373,0.461005,3.13757,0.728004,1.04637,1.45946,1,0,1,161,161
"162",-9504.06,-2.59752,1.30616,0.969967,0.451411,3.10421,0.753771,1.08308,1.47191,1,0,1,162,162
"163",-9564.44,-4.37652,1.27639,0.970829,0.464482,2.58131,0.775991,1.02868,1.47272,1,0,1,163,163
"164",-9555.5,-3.99122,1.27466,0.945694,0.531338,3.0717,0.686283,1.09906,1.47295,1,0,1,164,164
"165",-9502.98,-1.25955,1.28558,0.880052,0.45664,3.40664,0.732187,1.0491,1.48164,1,0,1,165,165
"166",-9487.13,-1.39962,1.29062,0.915359,0.493774,3.26648,0.765883,1.07957,1.48503,1,0,1,166,166
"167",-9541.79,-2.09748,1.28631,1.00272,0.470477,3.41037,0.740231,1.0581,1.46178,1,0,1,167,167
"168",-9503.88,-3.8901,1.30819,0.912399,0.427377,3.31951,0.793974,1.04767,1.49173,1,0,1,168,168
"169",-9533.13,-4.37185,1.29024,0.928071,0.430567,2.70634,0.685418,1.07612,1.48533,1,0,1,169,169
"170",-9512.88,-0.756242,1.28464,0.954296,0.487282,3.14181,0.714453,1.03463,1.46944,1,0,1,170,170
"171",-9486.95,-4.18728,1.29465,0.93242,0.4903,3.76073,0.795399,1.08978,1.46164,1,0,1,171,171
"172",-9524.23,-2.46029,1.28526,0.856144,0.436416,3.07839,0.716885,1.05043,1.48136,1,0,1,172,172
"173",-9507.54,-3.86527,1.25715,0.930433,0.439998,3.23498,0.780571,1.04124,1.49224,1,0,1,173,173
"174",-9528.12,-5.76435,1.31019,0.974061,0.405423,3.02407,0.688379,1.07115,1.46048,1,0,1,174,174
"175",-9613.97,-6.2731,1.26199,0.998857,0.448123,3.00431,0.649048,1.05803,1.48284,1,0,1,175,175
"176",-9500.73,-1.0526,1.28779,0.908623,0.482928,3.22423,0.717465,1.05627,1.4596,1,0,1,176,176
"177",-9506.81,-2.35242,1.2901,0.936649,0.488258,3.01415,0.733499,1.09142,1.49077,1,0,1,177,177
"178",-9483.31,-4.91878,1.29538,0.891489,0.546998,3.49343,0.821324,1.04127,1.48623,1,0,1,178,178
"179",-9583.29,-4.37209,1.28639,0.902091,0.436324,3.02578,0.870935,1.05557,1.47195,1,0,1,179,179
"180",-9586.01,-5.88595,1.25632,0.917906,0.51709,3.43272,0.676329,1.07789,1.45998,1,0,1,180,180
"181",-9560.88,-4.58323,1.2823,0.907879,0.414882,3.04696,0.844837,1.03053,1.45739,1,0,1,181,181
"182",-9565.31,-4.28248,1.26304,0.886593,0.447588,3.80155,0.720801,1.05355,1.47145,1,0,1,182,182
"183",-9515.43,-5.22156,1.29701,0.997562,0.526317,3.08237,0.75926,0.997726,1.45678,1,0,1,183,183
"184",-9548.34,-3.44714,1.28566,0.881165,0.464977,2.69795,0.696314,1.05405,1.47285,1,0,1,184,184
"185",-9481.93,-2.26242,1.28786,0.908474,0.53251,3.33537,0.797172,1.06121,1.46957,1,0,1,185,185
"186",-9495.2,-1.60702,1.2959,0.95229,0.506467,3.28674,0.743788,1.02626,1.46397,1,0,1,186,186
"187",-9519.34,-2.2506,1.28162,0.94792,0.465657,3.51058,0.723914,1.03065,1.45316,1,0,1,187,187
"188",-9524.55,-3.36871,1.29608,0.881075,0.402474,3.2592,0.790957,1.04673,1.46538,1,0,1,188,188
"189",-9524.03,-2.46795,1.29279,0.85842,0.45293,3.09142,0.753812,1.04036,1.48705,1,0,1,189,189
"190",-9519.64,-3.23386,1.2851,0.862633,0.401623,3.21429,0.720917,1.04801,1.46678,1,0,1,190,190
"191",-9507.76,-4.15581,1.26399,0.904226,0.443479,3.35187,0.772079,1.05149,1.50136,1,0,1,191,191
"192",-9503.89,-1.02156,1.28305,0.938762,0.435788,3.45244,0.739244,1.04967,1.46413,1,0,1,192,192
"193",-9504.98,-2.90545,1.26944,0.937298,0.404927,3.26855,0.764591,1.02825,1.46179,1,0,1,193,193
"194",-9504.45,-0.91008,1.28492,0.976447,0.465209,3.08422,0.762261,1.03365,1.47619,1,0,1,194,194
"195",-9547.84,-7.20337,1.29235,0.876485,0.37223,3.03675,0.782234,1.11101,1.47571,1,0,1,195,195
"196",-9503.7,-4.7172,1.29647,0.969062,0.518644,3.38781,0.853118,1.05465,1.46509,1,0,1,196,196
"197",-9521.46,-2.25277,1.27014,0.913291,0.465126,2.84391,0.725244,1.07736,1.47663,1,0,1,197,197
"198",-9508.75,-3.4769,1.28479,0.956389,0.487361,3.2716,0.841878,1.08531,1.48276,1,0,1,198,198
"199",-9552.06,-3.60886,1.30206,0.937042,0.478634,3.4047,0.68384,1.02149,1.49063,1,0,1,199,199
"200",-9512.76,-2.50563,1.28694,0.890194,0.437366,3.30252,0.695294,1.08,1.46133,1,0,1,200,200
"201",-9496.09,-2.59512,1.29935,0.925989,0.497591,3.14789,0.779532,1.06167,1.45281,1,0,1,201,201
"202",-9488.13,-3.67889,1.29485,0.897476,0.490091,3.45504,0.800662,1.09705,1.46026,1,0,1,202,202
"203",-9538.03,-3.40253,1.27123,1.01509,0.503979,3.41271,0.766955,1.06651,1.47876,1,0,1,203,203
"204",-9502.11,-0.636573,1.29319,0.922882,0.450274,3.03407,0.758671,1.05491,1.47722,1,0,1,204,204
"205",-9528.35,-4.6072,1.31146,0.901815,0.461664,3.25495,0.67568,1.08448,1.48051,1,0,1,205,205
"206",-9506.65,-1.0188,1.29423,0.96045,0.482446,3.01766,0.736297,1.06482,1.47158,1,0,1,206,206
"207",-9559.27,-5.87153,1.26756,0.981927,0.435598,3.17617,0.862713,1.01569,1.48059,1,0,1,207,207
"208",-9508.6,-2.16499,1.30015,0.944868,0.438274,3.03044,0.782404,1.07851,1.47864,1,0,1,208,208
"209",-9495,-1.16577,1.2775,0.890251,0.459254,3.43679,0.761582,1.03839,1.47839,1,0,1,209,209
"210",-9545.51,-5.55309,1.2906,0.949962,0.423861,2.60559,0.720605,1.10232,1.47614,1,0,1,210,210
"211",-9515.16,-2.71769,1.27982,0.954453,0.501422,2.94168,0.790803,1.02555,1.49014,1,0,1,211,211
"212",-9585.09,-4.15985,1.289,0.954725,0.468701,3.36599,0.674152,1.0713,1.50014,1,0,1,212,212
"213",-9545.59,-6.67726,1.26297,0.867639,0.45443,3.9827,0.79257,1.06774,1.46952,1,0,1,213,213
"214",-9530.02,-5.17716,1.28895,0.839104,0.427428,3.29814,0.710278,1.01058,1.4575,1,0,1,214,214
"215",-9562.94,-6.37513,1.2866,0.850202,0.389042,3.62575,0.800457,1.02899,1.47825,1,0,1,215,215
"216",-9515.6,-3.09565,1.29247,0.887156,0.410555,3.05585,0.744349,1.07689,1.45868,1,0,1,216,216
"217",-9593.22,-3.55316,1.27963,0.978515,0.482931,3.38496,0.691304,1.09099,1.49016,1,0,1,217,217
"218",-9496.6,-3.90908,1.27646,0.878809,0.509802,3.43131,0.751438,1.10888,1.46577,1,0,1,218,218
"219",-9498.83,-4.53057,1.26153,0.926255,0.511706,3.39233,0.739204,0.997843,1.4603,1,0,1,219,219
"220",-9555.25,-5.97295,1.31286,0.896021,0.406028,3.09967,0.832406,1.05922,1.47106,1,0,1,220,220
"221",-9553.78,-6.39331,1.26692,0.911555,0.587692,2.8429,0.710985,1.07234,1.47859,1,0,1,221,221
"222",-9556.67,-3.94155,1.29938,0.994493,0.506503,3.05356,0.699753,1.0861,1.48315,1,0,1,222,222
"223",-9490.14,-2.32988,1.30354,0.908872,0.510564,3.22636,0.770596,1.07096,1.466,1,0,1,223,223
"224",-9527.74,-5.97992,1.31134,0.956973,0.576887,3.21208,0.726384,1.06034,1.48548,1,0,1,224,224
"225",-9521.42,-3.16695,1.29132,0.910848,0.420189,3.43783,0.69112,1.02636,1.45873,1,0,1,225,225
"226",-9504.56,-2.80008,1.28111,0.933233,0.408581,3.31951,0.73712,1.09566,1.46446,1,0,1,226,226
"227",-9532.25,-4.07106,1.30392,0.940251,0.442215,2.74216,0.74169,1.01354,1.48341,1,0,1,227,227
"228",-9505.74,-3.4819,1.29722,0.925412,0.450334,3.32575,0.819094,1.03569,1.49569,1,0,1,228,228
"229",-9533.34,-2.03756,1.27672,0.96594,0.487383,3.04938,0.69633,1.06091,1.46105,1,0,1,229,229
"230",-9541.76,-3.8959,1.30191,0.982418,0.420438,3.53084,0.737984,1.03391,1.45808,1,0,1,230,230
