"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"89","m[11]",1.1668497975,1.14434,0.228292660614694,0.2230401201,0.8324002,1.588696,0.99980896060054,1711.8995551203,2003.88489292958
"90","m[12]",1.151042061,1.132825,0.200695137316701,0.190210167,0.85821005,1.5117725,0.999938715879788,1928.67227119535,2042.77227929042
"91","m[13]",0.9462644705,0.9377585,0.157978934458802,0.1549858149,0.7117389,1.221255,1.00039110661742,2067.62058332938,1924.08986244533
"92","m[14]",0.9309950835,0.917687,0.16731141256524,0.173338179,0.6847789,1.220427,1.00032143246891,1986.5312172749,2047.06098959464
"93","m[15]",1.037626417,1.026945,0.148352512016025,0.141580887,0.81185245,1.2975325,1.00060773623635,1823.91836175967,1709.94093040154
"94","m[16]",0.8625897695,0.847715,0.172139353660134,0.1636160295,0.608067,1.170047,0.999568306086286,1874.9983221085,2025.3545750489
"95","m[17]",1.0262964955,1.013605,0.164335569161962,0.1552267374,0.7810392,1.3170555,0.999618679900638,1857.00579914721,1838.01123344978
"96","m[18]",0.9874054435,0.9618195,0.19716082629186,0.1876830753,0.70228485,1.3385075,1.00017903613695,2001.74007847619,1916.7797355222
"97","m[19]",1.075078814,1.06034,0.158640214034717,0.158104464,0.84130865,1.3634185,1.00375601133341,1656.38571655063,1720.60200572164
"98","m[20]",0.75892125,0.745792,0.153684852190611,0.1461947382,0.541933,1.0405965,1.00016279531533,1896.3445770246,1847.97665367457
"99","m[21]",1.145841033,1.13823,0.161434807864856,0.162463308,0.89730775,1.418678,1.00069854955526,1953.3099729992,1947.66414148077
"100","m[22]",1.082612006,1.059105,0.212480131331575,0.2098019847,0.77580745,1.475479,1.00029819286414,2017.2891911613,1962.09111755608
"101","m[23]",0.9195261245,0.898955,0.178184456216151,0.17998764,0.6580831,1.234624,1.0012833120521,1968.70473735391,1887.65660012378
"102","m[24]",0.980494146,0.94857,0.2646974711703,0.2478588441,0.6090477,1.454632,1.00047598824048,1942.52013294165,1820.45644053722
"103","m[25]",0.9139253855,0.8981785,0.159622615712631,0.1574172789,0.6833581,1.1842315,0.999688401175142,2117.9206164773,1884.63419829358
"104","m[26]",1.030726856,1.00612,0.202423106884801,0.2025224187,0.73680625,1.3858535,1.00008325933599,1864.11536967665,2047.06098959464
"105","m[27]",1.06761545,1.054715,0.180825656700489,0.17583636,0.7946358,1.3811155,1.00063865722641,2110.44580152664,1960.74850271691
"106","m[28]",0.955300931,0.9368685,0.193387120400262,0.1851678444,0.67102075,1.303585,1.00309165794935,2018.59287958228,2003.88489292958
"107","m[29]",0.9456974005,0.936279,0.161011403937986,0.1568657517,0.70270635,1.227052,1.00019582907755,1992.74425037549,1919.24957360772
"108","m[30]",1.051786284,1.035865,0.187079515493105,0.1883910168,0.76415095,1.3713315,1.00040295396438,1889.1391372753,2044.77002477672
"109","m[31]",0.891930767,0.88623,0.122155434905288,0.121780764,0.70367335,1.096276,0.99950740550971,1853.1311275669,1847.13419421317
"110","m[32]",0.934985929,0.9193455,0.177879965547761,0.1790513781,0.6713634,1.2434395,1.00131486612639,1901.6320600294,1815.33212213117
"111","m[33]",1.1215428155,1.106245,0.170474402887822,0.163760583,0.8674356,1.410758,0.999978344838964,1843.94031676311,1776.62211642878
"112","m[34]",1.039589328,1.02208,0.206070066836881,0.1983066456,0.7348307,1.4065325,0.999608218911358,1919.71510906649,1985.07523839282
"113","m[35]",0.989224214,0.9796525,0.164314232213832,0.1611623265,0.74081785,1.2778585,1.00012083080145,1969.97006138965,1925.86513977191
"114","m[36]",1.2214920175,1.210775,0.126417302703707,0.12194385,1.025938,1.4432645,0.999715261147501,2149.38025324831,1884.27190098687
"115","m[37]",0.877884407,0.8681975,0.1246172813614,0.1217674206,0.69247785,1.0993185,0.999771089698972,2034.3669182141,1925.01294810018
"116","m[38]",1.061957473,1.036525,0.242571464256703,0.231144753,0.69611485,1.51336,0.999852466168871,1878.37627478132,1739.11800460036
"117","m[39]",0.992252627,0.979473,0.157658592556211,0.1564610019,0.75481495,1.273407,1.00057248975368,1849.06746459578,1847.97665367457
"118","m[40]",1.1526988075,1.135295,0.18570403685082,0.180039531,0.87624565,1.484962,0.999900988178266,1775.12165309199,1653.7105849813
"119","m[41]",1.0156206355,1.000325,0.18240240032375,0.1698726015,0.74912445,1.3333625,0.999623899715847,2057.93909986878,1821.50273255993
"120","m[42]",0.88567203,0.874756,0.138486330803043,0.1338691431,0.67677865,1.1272275,1.00077491241571,2045.04374847437,1653.98703505061
"121","m[43]",0.889893505,0.871152,0.185458250240587,0.1827682563,0.6226885,1.2182705,1.00009859386995,2030.96997425689,2003.88489292958
"122","m[44]",0.8747445835,0.8521155,0.196163285059429,0.1913154453,0.5851227,1.244275,0.999679954361214,1982.90046034185,1835.04531124974
"123","m[45]",0.8322154585,0.811983,0.201918878011572,0.1935667734,0.5505505,1.1946685,0.999808026415746,1952.1598777872,1883.76504671098
"124","m[46]",0.7396389435,0.726506,0.134338238812912,0.1280284404,0.5464565,0.9799378,0.999747511034806,1986.60154203124,2005.939048679
"125","m[47]",0.879206743,0.8649085,0.145150975783549,0.1420731102,0.66022785,1.1364805,1.0002596320452,2032.48718682403,1962.8137738422
"126","m[48]",1.0595301345,1.042215,0.182019920623005,0.1825555032,0.7935082,1.3757675,1.00023578940308,1956.92966555973,1650.53052129821
"127","m[49]",0.9760521495,0.952594,0.206189414365625,0.1972347258,0.6794333,1.350381,1.002559712986,1928.52469139429,1952.9303713569
"128","m[50]",0.8657027905,0.846187,0.187435056419161,0.1836044427,0.5924454,1.196542,1.0011698101734,1652.30858559305,1962.09111755608
"129","m[51]",0.923403582,0.9021805,0.218711693527489,0.2155025817,0.60991215,1.308918,0.999582271980569,2056.06106079231,2002.87030852694
"130","m[52]",0.995420695,0.946218,0.304239752158259,0.2672408739,0.58339855,1.570021,1.00012076217656,1958.92103052548,1961.09592745551
"131","m[53]",0.9567513965,0.935124,0.205512618960874,0.1989189594,0.6729348,1.3138485,0.999507609429632,2005.95992971477,1920.5680276912
"132","m[54]",0.8539980645,0.843263,0.120681889094732,0.1220809905,0.6746768,1.06806,1.00122878958273,1929.24832728368,1958.15179744405
"133","m[55]",1.137035847,1.120475,0.16895714725927,0.15915711,0.88797875,1.440395,0.999727871227508,1812.93417319724,1818.6077348136
"134","m[56]",0.956441936,0.9419085,0.174826978311674,0.1663870089,0.7009418,1.268486,1.0020442701169,1927.47969054659,1882.31921405841
"135","m[57]",1.1175298945,1.107595,0.194398005865991,0.1938025068,0.82290075,1.4637375,0.99950994698385,2155.6702961592,1888.20306033818
"136","m[58]",1.093006984,1.084245,0.166837978376496,0.164576013,0.83685535,1.381424,0.999719572477593,1902.28347343721,1852.39552374333
"137","m[59]",1.039581964,1.024425,0.190773341224734,0.189765387,0.7596863,1.3783865,0.99971901370765,2038.0811971657,1920.33513702207
"138","m[60]",0.8717872915,0.8611945,0.135272115647396,0.1272211647,0.667133,1.1140655,0.999986557641158,1770.61584389997,1828.61287846185
"139","m[61]",1.012839375,0.9862585,0.232960171095545,0.2144084229,0.6736771,1.4318905,0.999553671971539,1820.92601825479,1962.81734019566
"140","m[62]",0.822796195,0.75705,0.346876276909382,0.3018625491,0.4040563,1.463973,1.00013941394467,2076.3294424668,1997.90204709806
"141","m[63]",0.7192533855,0.708245,0.119809069883979,0.1169237664,0.5358068,0.9374027,1.00153234783311,1844.35079119155,1962.8137738422
"142","lam[1]",0.3128153006,0.2321245,0.277783005318637,0.1639770426,0.06644339,0.80386845,0.99954391342965,1807.81654158146,1846.42337678049
"143","lam[2]",0.3318130759,0.250967,0.297417545217814,0.1818905571,0.06977105,0.82831815,0.999623097333424,1700.39827565154,1879.87763892982
"144","lam[3]",0.2116915253,0.1650395,0.176079883707336,0.11423410761,0.04854812,0.52427225,0.999856840499814,2004.54773992314,1936.29932988449
"145","lam[4]",0.26586813735,0.1820655,0.299471715162391,0.1383280626,0.046711055,0.7258471,0.999825117789015,1919.14893744419,1848.25244668759
"146","lam[5]",0.46568088385,0.378218,0.40593810186571,0.2350832799,0.1281832,1.0515375,0.999766949711841,2065.34483663019,2041.72806685766
"147","lam[6]",0.5277153886,0.422001,0.401804664689534,0.2713921539,0.12994645,1.2642305,1.00011439200379,1852.26003944839,1779.14137735353
"148","lam[7]",0.3494368945,0.2554935,0.322237431831457,0.196348131,0.06682053,0.94055485,0.999518049733183,2009.17585861944,1968.53360156071
"149","lam[8]",0.356902539,0.3317895,0.157725751614122,0.1420508712,0.15157015,0.6540431,1.00108290441014,1992.18970971708,1743.61743801224
"150","lam[9]",0.3558426229,0.2546665,0.321881506121978,0.1873991574,0.073268465,0.95695185,0.999633743825631,1800.99394195165,1778.96689638156
"151","lam[10]",0.4193676505,0.393592,0.161658282608629,0.1444764048,0.21342525,0.7032125,1.00051546701513,2134.91757703901,1919.35298469675
