# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_revision_v9_Frechet_generalized_model
# start_datetime = 2022-09-26 14:09:00 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d47e126322.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d46e5662b.json
# random
#   seed = 1760951269
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/rev_fit_gen_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_revision_v9_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_revision_v9_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_revision_v9_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,stay,alpha,k,tau
# Stepsize adaptation complete.
# eta = 0.1
0,-921.106,-1.97906,1.48386,0.989698,0.172282,2.66792,1.22422,0.933709,1.3639,1,0
0,-929.854,-6.9361,1.50644,1.05878,0.207863,2.80879,1.32358,0.971982,1.35048,1,0
0,-930.085,-3.53534,1.55476,0.947779,0.10371,2.6082,1.12918,0.945414,1.37234,1,0
0,-926.052,-2.34966,1.51233,0.953315,0.139551,2.61333,1.2842,0.997779,1.36051,1,0
0,-922.852,-3.93307,1.50996,0.954252,0.155992,2.75579,1.18894,1.03475,1.37761,1,0
0,-921.648,-1.04378,1.5512,1.0073,0.11155,2.69057,1.27124,0.95308,1.33736,1,0
0,-922.204,-1.9193,1.47671,0.969085,0.117884,2.66283,1.21757,0.946158,1.37453,1,0
0,-921.686,-1.44565,1.49895,0.98169,0.114203,2.67973,1.21943,0.954693,1.38828,1,0
0,-923.327,-3.84807,1.51778,0.996582,0.118049,2.77854,1.27345,1.04199,1.30596,1,0
0,-920.448,-1.95414,1.47682,1.02032,0.117281,2.63946,1.24698,0.965456,1.3389,1,0
0,-925.159,-2.11817,1.52561,0.995872,0.109939,2.59419,1.18191,0.884657,1.31315,1,0
0,-932.748,-5.10532,1.49383,0.968458,0.172302,2.53487,1.39692,0.865567,1.34679,1,0
0,-924.364,-1.34198,1.52592,1.00427,0.124453,2.55891,1.19161,0.91635,1.33361,1,0
0,-928.045,-10.5465,1.54271,1.0348,0.106258,2.63455,0.922404,0.859973,1.40209,1,0
0,-924.266,-1.98642,1.53626,1.01335,0.149076,2.63721,1.33627,0.994091,1.35996,1,0
0,-922.709,-5.49489,1.49016,1.0211,0.10514,2.64333,1.47149,0.895466,1.30652,1,0
0,-922.456,-2.51281,1.49733,1.03513,0.101575,2.6806,1.20597,0.864324,1.36506,1,0
0,-930.225,-5.68185,1.49507,0.925653,0.118234,2.68126,1.07079,0.948837,1.32226,1,0
0,-921.8,-3.02591,1.50433,0.999032,0.152587,2.83187,1.30884,0.963315,1.38244,1,0
0,-927.495,-3.39523,1.52822,0.999365,0.109438,2.51896,1.11637,0.974178,1.3244,1,0
0,-926.642,-4.99786,1.50833,1.05412,0.196889,2.64732,1.28897,0.973814,1.34296,1,0
0,-926.399,-5.32718,1.53396,1.03438,0.0807895,2.80536,1.29405,1.00358,1.32307,1,0
0,-932.462,-5.60909,1.58024,0.953506,0.148281,2.65095,1.4396,0.960217,1.37068,1,0
0,-929.734,-3.00604,1.51741,0.950372,0.159268,2.58589,1.13727,0.90434,1.3465,1,0
0,-931.861,-7.83549,1.55025,0.997544,0.100212,2.99794,1.34832,1.01316,1.35179,1,0
0,-921.358,-2.21139,1.52162,0.990259,0.105498,2.79513,1.30996,0.980349,1.37938,1,0
0,-926.709,-7.04748,1.46051,0.970583,0.116885,2.59739,1.25515,0.891152,1.27934,1,0
0,-928.488,-6.44016,1.52349,1.06666,0.148882,2.784,1.39338,0.875475,1.32097,1,0
0,-928.537,-4.65167,1.50267,0.960708,0.160166,2.58127,1.0338,0.941013,1.36559,1,0
0,-931.145,-2.72532,1.54997,0.950611,0.127724,2.60497,1.13531,0.904247,1.33943,1,0
0,-921.9,-2.10229,1.50487,0.971273,0.156731,2.69832,1.26078,0.994216,1.37694,1,0
0,-920.921,-2.76138,1.50923,0.98249,0.0860495,2.72261,1.36676,0.880705,1.35384,1,0
0,-924.734,-4.83184,1.57772,1.03075,0.109911,2.59615,1.09462,0.952786,1.38031,1,0
0,-921.131,-1.43154,1.52948,1.01811,0.118502,2.66236,1.37599,0.924644,1.3517,1,0
0,-921.527,-1.22949,1.49568,0.964787,0.11596,2.73521,1.19307,0.923338,1.34251,1,0
0,-925.817,-2.57411,1.52647,0.959375,0.111805,2.64647,1.2882,0.835996,1.33912,1,0
0,-922.264,-0.90173,1.55695,0.985685,0.126307,2.70713,1.19527,0.936596,1.35937,1,0
0,-923.478,-2.30168,1.50526,1.00683,0.139532,2.58807,1.27325,0.838926,1.34385,1,0
0,-922.699,-4.93728,1.51141,1.03714,0.0819822,2.59078,1.15613,0.854751,1.32717,1,0
0,-921.454,-2.1802,1.54665,1.00612,0.0830421,2.68003,1.26109,0.946316,1.36051,1,0
0,-924.731,-2.30582,1.57123,0.996383,0.113261,2.7008,1.27698,0.91116,1.32087,1,0
0,-922.258,-3.33206,1.53119,1.00745,0.147405,2.78491,1.36742,0.841129,1.36634,1,0
0,-925.843,-5.13463,1.50368,1.01749,0.11738,2.52889,1.23225,0.805311,1.32115,1,0
0,-932.36,-5.22373,1.56063,0.970212,0.150293,2.53054,1.0888,0.947228,1.3901,1,0
0,-932.367,-7.25698,1.49558,0.927308,0.103961,2.52359,1.28657,0.915445,1.40431,1,0
0,-923.676,-8.45975,1.47899,1.04894,0.112888,2.52357,1.00592,0.860165,1.33575,1,0
0,-921.328,-1.99512,1.51235,0.958089,0.116316,2.80579,1.22749,0.967528,1.35388,1,0
0,-922.24,-3.05638,1.46676,1.01796,0.122636,2.708,1.37081,0.950449,1.34432,1,0
0,-921.398,-2.82966,1.49264,1.03321,0.120138,2.59847,1.30176,0.858228,1.34669,1,0
0,-927.564,-4.08744,1.50215,0.998844,0.145709,2.56008,1.19349,0.996737,1.29957,1,0
0,-922.061,-1.44145,1.49874,0.961439,0.118927,2.65924,1.31676,0.955763,1.34898,1,0
0,-920.83,-1.67315,1.5078,1.02416,0.118461,2.68541,1.3482,0.90946,1.37163,1,0
0,-921.361,-2.96466,1.46027,0.991997,0.138664,2.70477,1.14999,0.971901,1.33767,1,0
0,-924.616,-0.857762,1.54707,0.990987,0.120026,2.59325,1.24032,0.930332,1.35169,1,0
0,-921.954,-4.5364,1.55172,1.02626,0.0794919,2.68667,1.37439,0.988143,1.35297,1,0
0,-928.443,-3.9856,1.49653,0.998476,0.131472,2.90589,1.2257,0.865721,1.3698,1,0
0,-925.833,-6.70351,1.45987,0.970917,0.157541,2.81616,1.06014,0.854996,1.33855,1,0
0,-930.745,-5.87056,1.58558,1.02143,0.112306,2.64751,1.23553,0.964921,1.29015,1,0
0,-924.499,-2.71599,1.51747,0.979498,0.147085,2.62184,1.19349,0.876686,1.39966,1,0
0,-920.607,-3.01548,1.5397,0.982015,0.130544,2.85871,1.30187,0.875724,1.37106,1,0
0,-929.8,-3.91708,1.52465,0.974239,0.113482,2.56547,1.29542,0.861399,1.30152,1,0
0,-924.546,-4.22457,1.51045,1.0247,0.157005,2.61616,1.29589,1.00121,1.40332,1,0
0,-921.578,-2.82811,1.47501,0.997061,0.0985899,2.64823,1.23384,0.962157,1.31605,1,0
0,-920.998,-3.14459,1.48272,0.985707,0.156335,2.7607,1.11952,0.890001,1.32607,1,0
0,-926.206,-6.28847,1.47834,0.9883,0.102437,2.5817,0.971583,0.927484,1.34614,1,0
0,-925.613,-1.78166,1.5402,1.00767,0.165913,2.63331,1.26311,0.942394,1.32925,1,0
0,-926.659,-2.23188,1.56108,0.988625,0.121259,2.66425,1.15619,0.918821,1.31457,1,0
0,-923.332,-2.62408,1.51488,0.974369,0.0977832,2.73984,1.22014,0.94509,1.39931,1,0
0,-921.433,-2.24104,1.54289,1.03855,0.132356,2.65324,1.25435,0.908471,1.38005,1,0
0,-920.731,-2.34423,1.51448,0.980659,0.154965,2.78441,1.10593,0.963139,1.34321,1,0
0,-922.642,-3.57855,1.48841,0.946483,0.131414,2.69572,1.39484,0.959358,1.36522,1,0
0,-924.144,-2.8538,1.57624,1.01773,0.118346,2.66664,1.12509,0.891056,1.3466,1,0
0,-925.081,-3.11197,1.51939,1.02561,0.103193,2.80796,1.1196,0.969539,1.33058,1,0
0,-922.654,-2.35729,1.56577,0.987051,0.121568,2.71227,1.29912,0.888927,1.38383,1,0
0,-929.285,-4.99034,1.5434,1.06139,0.1002,2.82664,1.25388,0.959854,1.36781,1,0
0,-928.731,-3.40475,1.557,0.991465,0.112523,2.58777,1.10273,1.00088,1.32611,1,0
0,-922.282,-2.85055,1.53697,1.03414,0.118189,2.66675,1.26207,0.844021,1.32531,1,0
0,-926.153,-2.24362,1.54904,0.978816,0.145627,2.66114,1.09009,0.940598,1.33382,1,0
0,-921.813,-3.44815,1.46451,0.954108,0.112139,2.7256,1.29816,0.939869,1.33501,1,0
0,-922.423,-1.46204,1.52679,0.966081,0.121464,2.67698,1.3379,0.892033,1.36855,1,0
0,-922.105,-3.65419,1.55092,1.04255,0.0988106,2.70413,1.38118,0.955192,1.35971,1,0
0,-920.955,-3.128,1.47646,0.964542,0.146751,2.75463,1.32988,0.979452,1.34227,1,0
0,-930.394,-6.13836,1.48027,0.92611,0.131794,2.61529,1.13945,1.02729,1.33663,1,0
0,-921.681,-2.59111,1.47076,1.00984,0.132933,2.6291,1.15779,0.906185,1.37744,1,0
0,-927.417,-2.37829,1.54872,0.973227,0.114705,2.5577,1.19192,0.943885,1.38068,1,0
0,-925.736,-3.71382,1.51893,0.932582,0.0913248,2.73431,1.23308,0.906573,1.36116,1,0
0,-937.994,-4.77124,1.49152,1.02879,0.0967968,2.83838,1.07471,0.958982,1.34643,1,0
0,-922.694,-2.38343,1.51227,1.00063,0.123627,2.86425,1.26267,0.982218,1.35013,1,0
0,-922.481,-3.11957,1.47747,1.00792,0.139645,2.59073,1.24892,0.866085,1.3208,1,0
