# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-09-26 14:08:15 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/standata-25d450cd851.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpkpCL6s/init-1-25d4288a429e.json
# random
#   seed = 274815519
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/fit_gen_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/GitHub/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,-464.003,-4.38036,1.46925,0.9272,0.304237,2.69011,1.52136,1.29924,1,0,0
0,-460.965,-2.55575,1.44708,0.938478,0.289918,2.73787,1.3868,1.3458,1,0,0
0,-458.916,-3.15752,1.51127,1.01049,0.210741,2.59994,1.5347,1.38911,1,0,0
0,-460.053,-2.77953,1.40418,1.05727,0.276489,2.68074,1.43428,1.36604,1,0,0
0,-459.326,-2.68867,1.50045,1.03346,0.220134,2.67878,1.43866,1.40148,1,0,0
0,-462.62,-6.97171,1.48399,1.05216,0.292202,2.9563,1.61655,1.34373,1,0,0
0,-457.972,-1.53274,1.4849,0.961464,0.257942,2.77796,1.48242,1.38217,1,0,0
0,-457.811,-1.54046,1.43592,1.01442,0.260822,2.69887,1.57586,1.40144,1,0,0
0,-459.509,-3.83966,1.46088,1.01815,0.186208,2.6949,1.58669,1.33849,1,0,0
0,-457.639,-4.32986,1.50402,1.10124,0.259319,2.53468,1.48601,1.38503,1,0,0
0,-459.322,-2.38075,1.43156,1.04516,0.265227,2.67409,1.50215,1.41539,1,0,0
0,-458.961,-2.66565,1.4387,1.01984,0.301249,2.62361,1.62079,1.32545,1,0,0
0,-457.783,-1.35248,1.46863,1.0576,0.238334,2.73041,1.57837,1.36657,1,0,0
0,-462.756,-3.7553,1.44139,0.976808,0.293425,2.51185,1.39246,1.33805,1,0,0
0,-458.443,-1.86554,1.49977,0.964432,0.282477,2.69108,1.62102,1.36009,1,0,0
0,-460.25,-4.09668,1.51352,1.02499,0.288257,2.75818,1.33212,1.34498,1,0,0
0,-458.624,-4.00695,1.43098,1.01629,0.248983,2.59238,1.6972,1.40786,1,0,0
0,-457.93,-2.42678,1.45641,1.01489,0.237561,2.5507,1.62597,1.34072,1,0,0
0,-458.694,-1.20119,1.46475,0.963706,0.245092,2.6308,1.52858,1.39722,1,0,0
0,-459.12,-3.2678,1.41244,1.00973,0.310935,2.63179,1.5829,1.39646,1,0,0
0,-457.149,-1.01223,1.45179,0.994304,0.270785,2.78748,1.49074,1.36889,1,0,0
